职位,薪资,公司,公司信息,公司地址,地区,工作经验,学历,人数,时间,岗位信息
['大数据工程师'],['5-8千/月'],['南京牧信科技有限公司'],['民营公司| 50-150人| 通信/电信/网络设备 通信/电信运营、增值服务'],['上班地址 : 秣周东路12号（南京未来网络小镇）1号楼5F-U542'],['南京-江宁区'],[],[],['若干人'],['2019-09-13'],
['高级大数据开发工程师'],['1.5-2.5万/月'],['广州优亿信息科技有限公司'],['民营公司| 50-150人| 通信/电信/网络设备 通信/电信运营、增值服务'],['上班地址 : 广州市天河五山路248号金山大厦南塔1805'],['广州'],['3-4年工作经验'],['本科'],['5人'],['2019-09-13'],
['大数据风控商务销售经理：'],['0.7-1.5万/月'],['杭州数盒魔方科技有限公司'],['创业公司| 少于50人| 计算机软件 通信/电信运营、增值服务'],['上班地址 : 浙江省杭州市滨江区浦沿街道伟业路3号B幢7层703'],['杭州-滨江区'],[],[],['5人'],['2019-09-13'],
['大数据开发工程师'],['1-1.5万/月'],['中金智汇科技有限责任公司'],['民营公司| 50-150人| 计算机软件 互联网/电子商务'],['上班地址 : 北京经济技术开发区荣华南路2号大族广场T1栋11层'],['北京'],['3-4年工作经验'],['本科'],['1人'],['2019-09-13'],
['大数据实时海量平台研发工程师'],['1-2万/月'],['江苏润和软件股份有限公司'],['民营公司| 5000-10000人| 计算机软件 计算机硬件'],['上班地址 : 黄浦区香山路'],['广州'],['3-4年工作经验'],['大专'],['5人'],['2019-09-13'],1、熟悉JAVA等开发知识，熟练掌握springboot、springclound等技术架构2、熟悉开源kafka、Spark、Flume等大数据常用技术。3、熟悉关系型数据库MySQL、Oracle等数据库开发知识，熟悉存储过程、函数等；4、熟悉Webservice等接口开发，有web接口开发经验。4、熟悉redis、MongoDB、SQLite等相关知识。
['大数据培训导师(J11701)'],['1.5-3万/月'],['江苏传智播客教育科技股份有限公司武汉分公司'],['民营公司| 1000-5000人| 教育/培训/院校'],['上班地址 : 精武人家食品工业园有限公司 精武人家冷库对面'],['武汉-黄陂区'],['3-4年工作经验'],['本科'],['2人'],['2019-09-13'],
['软件开发（大数据分析与挖掘）'],['10-15万/年'],['中国电科第二十九研究所-中星世通公司'],['国企| 150-500人| 电子技术/半导体/集成电路 通信/电信/网络设备'],['上班地址 : 苏坡西路35号四威电子大厦10F'],['成都-青羊区'],['2年工作经验'],['本科'],['1人'],['2019-09-13'],
['大数据架构师'],['1.5-2.5万/月'],['贵州智诚科技有限公司'],['民营公司| 50-150人| 计算机服务(系统、数据服务、维修) 电子技术/半导体/集成电路'],['上班地址 : 金阳高新区管委西部研发基地三号楼11层'],['贵阳'],['5-7年工作经验'],['本科'],['1人'],['2019-09-13'],"岗位职责：1. 负责平台的整体数据架构设计，完成从业务模型到数据模型的设计工作 ，熟悉业务模型分析及转换，具备较强的业务理解和业务抽象能力，善于从复杂现象中抽象根本问题，分析根本原因，并形成最合适的快速解决方案 2. 负责根据业务功能、业务模型，进行数据库建模设计 ，具备大容量事物及交易类互联网平台的数据库模型设计能力，对调度系统，元数据系统有非常深刻的认识和理解，能解决高并发的调度系统中的关键问题。 3. 完成各种面向业务目标的数据分析模型的定义和应用开发 ，熟悉常用的分析、统计、建模方法，熟悉数据仓库相关技术，如 ETL、报表开发，熟悉分布式计算的设计，了解在工程化过程中会遇到的各种问题，熟悉Hadoop，Hive等系统并有过实战经验。 4. 负责平台数据提取、数据挖掘及数据分析，具有良好的商业敏感度和优秀的数据分析技能，能够解决复杂的商业问题。 任职要求：1、 5年以上相关工作经验精通Java，熟悉分布式、多线程及高性能的设计与编码及性能调优，2. 丰富的数据架构规划、数据建模、数据库设计以及程序设计、开发经验； 3. 丰富的数据解决方案或数据架构（数据仓库、数据集成、数据管理）构建经验； 4. 丰富的基于开源技术的提供BI解决方案的经验； 5. 精通至少一种常见数据库,至少一种开源ETL工具、数据建模工具； 6. 深入了解包括：抽象、SQL查询路径以及优化路径在内的方法和技能； 7. 熟悉hive、pig、python任意一种大数据处理语言； 熟悉使用Hadoop/Hive/Hbase/Spark/flume/kafka等大数据开源框架； 8. 有基于Hadoop、MPI或Cassandra、MongoDB分布式平台, HBase及类似的NoSQL存储, MySQL，和BI系统等实践经验优先；9.具体***。"
['大数据工程师（博士）'],['1.5-3.5万/月'],['上海宽带技术及应用工程研究中心'],['事业单位| 少于50人| 通信/电信/网络设备 通信/电信运营、增值服务'],['上班地址 : 万荣路1268号云立方A栋13、14楼'],['上海-静安区'],['无工作经验'],['博士'],['若干人'],['2019-09-13'],
['大数据业务发展总监'],['1.5-2万/月'],['时代嘉道企业机构'],['民营公司| 150-500人| 汽车及零配件 互联网/电子商务'],['上班地址 : 天山路600弄思创大厦4号楼30层'],['上海-长宁区'],['5-7年工作经验'],['大专'],['若干人'],['2019-09-13'],
['大数据开发工程师（校招）'],['13-15万/年'],['广州凡科互联网科技股份有限公司'],['上市公司| 150-500人| 互联网/电子商务'],['上班地址 : 工业大道北67号凤凰创意园'],['广州-海珠区'],['无工作经验'],['本科'],['1人'],['2019-09-13'],
['大数据专家'],['2.5-3万/月'],['上海玖数软件有限公司'],['民营公司| 少于50人| 计算机软件 计算机服务(系统、数据服务、维修)'],['上班地址 : 怒江北路399号新曹杨科技大厦802室'],['上海-普陀区'],['5-7年工作经验'],['本科'],['1人'],['2019-09-13'],
['大数据运维工程师'],['1.5-2万/月'],['上海六界信息技术有限公司'],['民营公司| 150-500人| 互联网/电子商务'],['上班地址 : 桂林路406号华鑫中心7号'],['上海-徐汇区'],['3-4年工作经验'],['本科'],['1人'],['2019-09-13'],
['大数据开发工程师'],['0.6-3万/月'],['上海彩虹鱼海洋科技股份有限公司'],['民营公司| 50-150人| 多元化业务集团公司'],['上班地址 : 南汇新城镇'],['上海-浦东新区'],['1年工作经验'],['大专'],['1人'],['2019-09-13'],
['大数据实习生'],['4.5-6千/月'],['福州咸鱼科技有限公司'],['民营公司| 150-500人| 互联网/电子商务 专业服务(咨询、人力资源、财会)'],['上班地址 : 仓山区橘园创意广场'],['福州'],['无工作经验'],['大专'],['3人'],['2019-09-13'],
['大数据分析工程师'],['20-30万/年'],['慧感（上海）物联网科技有限公司'],['民营公司| 少于50人| 仪器仪表/工业自动化 环保'],['上班地址 : 上海市嘉定区平城路811号北水湾大厦7楼'],['上海-嘉定区'],['本科'],[],['2人'],['2019-09-13'],
['大数据开发工程师'],['0.9-1.5万/月'],['西安翔迅科技有限责任公司'],['国企| 500-1000人| 航天/航空 多元化业务集团公司'],['上班地址 : 太白北路156号631研究所航空科技大厦'],['西安-碑林区'],['3-4年工作经验'],['本科'],['3人'],['2019-09-13'],
['（大数据技术专家）'],['2.2-2.8万/月'],['深圳市美创科技有限公司'],['民营公司| 50-150人| 计算机软件 计算机服务(系统、数据服务、维修)'],['上班地址 : 深圳湾科技生态园9栋裙楼A-3座4层'],['深圳-南山区'],['10年以上工作经验'],['大专'],['1人'],['2019-09-13'],
['大数据开发工程师'],['0.8-1万/月'],['北京华宇泰聚科技有限公司'],['民营公司| 50-150人| 计算机软件'],['上班地址 : 科创路1001号华昱大厦'],['济南-历城区'],['2年工作经验'],['本科'],['2人'],['2019-09-12'],
['大数据开发/分析'],['0.8-1.5万/月'],['深圳市东恒尚科信息技术有限公司'],['民营公司| 50-150人| 计算机软件'],['上班地址 : 天河区珠江新城高志大厦'],['广州'],['1年工作经验'],['本科'],['5人'],['2019-09-12'],
